I [uA],U [V]
0.0,0.27
0.03,0.232
0.06,0.195
0.09,0.172
0.12,0.144
0.15,0.122
0.18,0.099
0.21,0.075
0.24,0.057
0.27,0.036
0.3,0.019
0.33,0.0
